Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Delayed
2001,4,25,3,803.0,800,1049.0,1105,DL,2330,N314D1,166.0,185.0,151.0,-16.0,3.0,PBI,BOS,1197,5,10,0,,0,,,,,,Y
2001,12,6,4,831.0,635,1133.0,933,AA,881,N078A1,182.0,178.0,144.0,120.0,116.0,JFK,MIA,1090,12,26,0,,0,,,,,,Y
2001,1,11,4,1816.0,1820,1925.0,1919,NW,1731,N9348@,129.0,119.0,89.0,6.0,-4.0,DAY,MSP,574,32,8,0,,0,,,,,,Y
2001,8,22,3,1033.0,934,1630.0,1537,AA,80,N371A1,237.0,243.0,215.0,53.0,59.0,SFO,ORD,1846,7,15,0,,0,,,,,,Y
2001,7,13,5,1202.0,1200,1317.0,1317,CO,1639,N73256,135.0,137.0,112.0,0.0,2.0,IAH,DEN,861,8,15,0,,0,,,,,,Y
2001,12,16,7,548.0,530,742.0,746,AA,90,N536A1,114.0,136.0,100.0,-4.0,18.0,DFW,ORD,802,6,8,0,,0,,,,,,Y
2001,10,8,1,2016.0,2015,2137.0,2152,DL,756,-N956D,141.0,157.0,124.0,-15.0,1.0,ATL,MSP,906,5,12,0,,0,,,,,,Y
2001,6,9,6,1406.0,1355,1536.0,1528,NW,611,N305äâ,150.0,153.0,136.0,8.0,11.0,BWI,MSP,936,5,9,0,,0,,,,,,Y
2001,1,11,4,1540.0,1520,1631.0,1618,MQ,3217,-N330M,51.0,58.0,34.0,13.0,20.0,LAX,PSP,110,4,13,0,,0,,,,,,Y
2001,8,30,4,2103.0,2100,2306.0,2254,NW,555,N369Næ,243.0,234.0,207.0,12.0,3.0,MEM,LAX,1619,9,27,0,,0,,,,,,Y
2001,11,21,3,1738.0,1715,2027.0,2010,WN,2419,N334@@,109.0,115.0,80.0,17.0,23.0,SJC,PHX,621,7,22,0,,0,,,,,,Y
2001,4,27,5,1424.0,1418,1916.0,1914,AA,1294,N515A1,232.0,236.0,191.0,2.0,6.0,DFW,BOS,1562,12,29,0,,0,,,,,,Y
2001,11,28,3,1627.0,1445,1816.0,1620,UA,521,N949ä1,169.0,155.0,143.0,116.0,102.0,BOS,ORD,867,13,13,0,,0,,,,,,Y
2001,11,11,7,1739.0,1735,2127.0,2117,AA,530,N226A1,168.0,162.0,145.0,10.0,4.0,DFW,RIC,1158,6,17,0,,0,,,,,,Y
2001,11,7,3,1512.0,930,1616.0,1032,CO,1235,N16701,64.0,62.0,46.0,344.0,342.0,PVD,EWR,160,7,11,0,,0,,,,,,Y
2001,11,12,1,530.0,530,710.0,708,DL,878,-N904D,100.0,98.0,79.0,2.0,0.0,PBI,ATL,545,9,12,0,,0,,,,,,Y
2001,6,4,1,1800.0,1750,1900.0,1900,WN,1054,N367@@,60.0,70.0,53.0,0.0,10.0,ONT,PHX,325,2,5,0,,0,,,,,,Y
2001,1,21,7,1300.0,1300,1550.0,1531,DL,1950,N387D1,110.0,91.0,75.0,19.0,0.0,GEG,SLC,546,7,28,0,,0,,,,,,Y
