iter	Passed	Remaining
0	37	3704
1	72	3535
2	103	3343
3	129	3119
4	150	2868
5	167	2628
6	185	2463
7	205	2368
8	228	2307
9	249	2243
10	267	2166
11	287	2106
12	305	2041
13	327	2009
14	347	1966
15	371	1952
16	394	1925
17	422	1923
18	446	1903
19	470	1881
20	495	1865
21	523	1855
22	549	1837
23	571	1809
24	595	1786
25	616	1755
26	637	1724
27	662	1703
28	687	1684
29	711	1661
30	736	1639
31	761	1617
32	784	1592
33	806	1566
34	829	1539
35	850	1512
36	871	1484
37	889	1450
38	907	1419
39	932	1398
40	955	1374
41	984	1359
42	1009	1337
43	1034	1316
44	1057	1292
45	1081	1269
46	1106	1247
47	1135	1229
48	1154	1201
49	1174	1174
50	1192	1145
51	1215	1121
52	1235	1095
53	1257	1071
54	1282	1049
55	1304	1024
56	1322	997
57	1342	972
58	1363	947
59	1385	923
60	1408	900
61	1433	878
62	1453	853
63	1473	828
64	1496	805
65	1515	780
66	1536	756
67	1564	736
68	1585	712
69	1604	687
70	1624	663
71	1644	639
72	1665	616
73	1689	593
74	1712	570
75	1733	547
76	1751	523
77	1770	499
78	1789	475
79	1811	452
80	1831	429
81	1854	407
82	1871	383
83	1892	360
84	1912	337
85	1930	314
86	1951	291
87	1978	269
88	2001	247
89	2027	225
90	2049	202
91	2071	180
92	2093	157
93	2116	135
94	2144	112
95	2163	90
96	2183	67
97	2205	45
98	2229	22
99	2247	0
